Price,Close,High,Low,Open,Volume
Ticker,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS
Date,,,,,
2025-03-19,1303.0455322265625,1308.2057883620175,1292.1794251380722,1295.6029599370165,11278014
2025-03-20,1311.5797119140625,1314.1102350516276,1301.0113557334153,1309.8927772461004,10886735
2025-03-21,1332.81591796875,1338.6707661545943,1301.5571120874529,1305.923445707521,60494318
2025-03-24,1347.750732421875,1362.4870024308004,1334.7510627437973,1345.5675050388625,9352280
2025-03-25,1333.4112548828125,1353.3574463042776,1319.8658696966822,1348.5941513991709,16419207
2025-03-26,1325.6710205078125,1347.6017762925185,1321.304687138062,1333.7586400786652,10859639
2025-03-27,1326.415283203125,1341.1515523929718,1322.9420827344788,1322.9420827344788,15109614
2025-03-28,1338.025634765625,1347.5521031600986,1317.0375564815454,1325.7702231722565,8266544
2025-04-01,1308.3546142578125,1341.995067068455,1305.328040709696,1329.739654923708,14288024
2025-04-02,1321.056640625,1327.705290380845,1312.026343402594,1312.026343402594,8042214
2025-04-03,1319.3697509765625,1322.7932860458366,1311.1332552048473,1311.8278468858045,4591008
2025-04-04,1325.07568359375,1328.3007984100484,1311.9766830431024,1319.3697112264526,8648542
2025-04-07,1277.6912841796875,1314.854481252151,1255.3139009690346,1285.3322768617725,19185012
2025-04-08,1289.9466552734375,1300.0189606799747,1277.4927025037578,1289.8969896705237,13085762
2025-04-09,1290.83984375,1295.106846037701,1274.6646041339118,1294.9579703581671,13005622
2025-04-11,1301.606689453125,1314.8544439632922,1295.1067945023049,1295.1067945023049,13064247
2025-04-15,1339.8614501953125,1343.9301533432258,1325.9686484021752,1340.655373037739,15202603
2025-04-16,1346.0140380859375,1349.2886972283168,1332.6174078978706,1346.6094196449503,14039073
2025-04-17,1395.9288330078125,1398.112060263163,1349.6856739861041,1351.5711498907554,17490424
2025-04-21,1399.0052490234375,1425.004587897116,1393.9442026732427,1425.004587897116,16882426
2025-04-22,1405.6539306640625,1407.9363681338637,1388.1887172069748,1401.9823098324273,16135274
2025-04-23,1413.493408203125,1418.9512947601793,1400.4937389943566,1418.0581618237188,13990764
2025-04-24,1391.95947265625,1410.3178180904442,1388.0894318786184,1405.4554343163697,15678099
2025-04-25,1394.04345703125,1403.966886762009,1377.769008045682,1399.2035920369979,11705093
2025-04-28,1417.8597412109375,1424.0122194189871,1393.0511659597357,1394.8373106964493,10948561
2025-04-29,1418.85205078125,1427.2869661678633,1411.7071085959242,1417.8597077945897,10786910
2025-04-30,1416.073486328125,1422.7221360927958,1389.2802248488963,1422.0275444346203,14192027
2025-05-02,1419.149658203125,1435.5233172200462,1413.6917718641512,1415.9742091510598,8842434
2025-05-05,1418.455078125,1435.7218701832576,1415.081087769954,1428.9738894731652,4565705
2025-05-06,1420.63818359375,1422.7220796211836,1409.5239906903596,1418.0581160771362,6301690
2025-05-07,1424.4091796875,1430.9586193213472,1410.119416127347,1414.0887881642996,10480453
2025-05-08,1424.5084228515625,1437.8058437113664,1415.1803741209164,1427.5846620245352,15306490
2025-05-09,1378.2652587890625,1409.0278927234135,1376.379782804671,1404.3638078003796,13491197
2025-05-12,1437.4088134765625,1441.8743569081432,1393.249550653154,1398.6082269981746,9925445
2025-05-13,1419.6458740234375,1436.8134564073198,1416.4704248722041,1429.0731325397105,12475424
2025-05-14,1415.279541015625,1429.6685145448027,1406.4477852062123,1418.9512828044426,8026837
2025-05-15,1439.6912841796875,1445.3475908699352,1404.6615275498752,1414.9819190581854,18209264
2025-05-16,1442.86669921875,1447.5306627908633,1435.920298328426,1442.172107583965,6439208
2025-05-19,1437.905029296875,1448.5230511072755,1432.7448940711074,1435.4241717584057,6005334
2025-05-20,1427.1876220703125,1447.8284044606678,1424.5083444847762,1439.0957378026826,11352383
2025-05-21,1433.637939453125,1440.1875004165765,1427.485461067875,1431.8517946649677,5510460
2025-05-22,1431.057861328125,1434.2334317099203,1416.867428660744,1430.0655182967434,7245933
2025-05-23,1438.698974609375,1440.6836606711147,1423.4168677068544,1431.1570706662649,5203706
2025-05-26,1449.4161376953125,1460.331910515487,1443.8590412139838,1446.8360701649403,5608725
2025-05-27,1435.324951171875,1451.7978208795425,1424.7068083036186,1441.3782192942826,14842959
2025-05-28,1442.6683349609375,1446.836127202333,1431.454810349359,1436.5157355383742,8618343
2025-05-29,1445.3475341796875,1451.698553407669,1433.9355900375203,1445.4467442494526,15545514
2025-05-30,1434.7296142578125,1449.7139699197687,1433.2410996992944,1448.7216268807567,11803975
2025-06-02,1439.3935546875,1448.8208134048605,1421.8291316367724,1430.9586389930196,9458990
2025-06-03,1426.8900146484375,1443.8590556109682,1421.035166759386,1443.7598455387374,11167345
2025-06-04,1420.0428466796875,1429.0731438395549,1415.4780930628378,1426.3938661679927,8025388
2025-06-05,1443.66064453125,1447.8284366760695,1416.3712120373557,1419.9436226094324,11385668
2025-06-06,1448.5230712890625,1450.2101271201,1431.0578582020253,1437.5080878919146,11580994
2025-06-09,1423.8138427734375,1455.5688200651953,1422.4245382897982,1453.7825541382838,11022031
2025-06-10,1412.0048828125,1430.660858582463,1405.6538633679,1427.9815809293386,12905272
2025-06-11,1420.0428466796875,1423.5160472131458,1407.737769134025,1410.9133394459884,7136877
2025-06-12,1414.2872314453125,1425.5007560873705,1409.127096167119,1419.5466979345517,7953247
2025-06-13,1405.2569580078125,1410.6156346634868,1392.8526699787633,1392.8526699787633,7573103
2025-06-16,1415.9742431640625,1418.0581392255135,1403.3714144517853,1405.7530618658518,5451137
2025-06-17,1412.302490234375,1418.8520508551696,1406.9439350146247,1415.9742319665809,6970098
2025-06-18,1401.78369140625,1421.0351697486842,1399.402043989603,1406.150024814166,6751745
2025-06-19,1400.4937744140625,1403.8676438261634,1393.9442134714564,1397.2189939427594,8849883
2025-06-20,1416.1727294921875,1422.3253290273638,1399.4021078732494,1400.4937821267788,12408178
2025-06-23,1409.226318359375,1412.3025575376569,1401.0891539348067,1406.1500791810931,5514384
2025-06-24,1413.1956787109375,1424.9053748687675,1405.6538959425357,1416.7680893764307,11188438
2025-06-25,1414.8826904296875,1417.9589294864209,1404.463088984364,1411.1117385952273,7527388
2025-06-26,1428.080810546875,1436.4165161110168,1410.814017835929,1413.8903780949927,13617435
2025-06-27,1451.00390625,1454.774858156496,1426.0961208320166,1427.882386711014,22532899
2025-06-30,1434.7296142578125,1450.706312958781,1431.2564136212704,1450.6071028820047,6325073
2025-07-01,1421.03515625,1436.5156826077227,1418.653508855977,1434.6302067068036,7761449
2025-07-02,1416.867431640625,1439.8897415628453,1411.707175185214,1421.2336440793872,13372280
2025-07-03,1414.98193359375,1435.027214103107,1412.798706272776,1421.1344118511029,10177738
2025-07-04,1431.7525634765625,1433.3402880878325,1410.2186471744621,1416.0734952431667,5066503
2025-07-07,1424.706787109375,1429.8670433562065,1418.6535190770169,1425.9968814549877,5177477
2025-07-08,1430.9586181640625,1433.935647189369,1419.050502062836,1421.035188079707,5315847
2025-07-09,1420.93603515625,1427.683895203639,1415.6765685457565,1425.2030375827696,8827347
